Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1,2023-02-21,CUST1034,Male,35,Children Wear,2,30,60
2,2023-04-14,CUST1176,Male,33,Formal Wear,2,150,300
3,2023-02-10,CUST068,Male,25,Formal Wear,1,300,300
4,2023-04-15,CUST1330,Male,36,Formal Wear,3,100,300
5,2023-05-27,CUST651,Male,51,Children Wear,3,50,150
6,2023-08-26,CUST1868,Female,29,Sportswear,4,30,120
7,2023-04-29,CUST987,Female,30,Formal Wear,3,300,900
8,2023-03-31,CUST553,Male,24,Sportswear,4,300,1200
9,2023-10-05,CUST1427,Male,62,Casual Wear,4,150,600
10,2023-11-16,CUST1668,Male,40,Casual Wear,3,25,75
11,2023-01-27,CUST1574,Female,30,Sportswear,3,50,150
12,2023-10-03,CUST1317,Female,42,Workwear,2,200,400
13,2023-07-24,CUST495,Male,24,Casual Wear,2,30,60
14,2023-02-21,CUST1978,Male,31,Sportswear,5,25,125
15,2023-04-13,CUST1760,Male,35,Formal Wear,2,100,200
16,2023-05-05,CUST866,Male,24,Sportswear,1,50,50
17,2023-02-05,CUST530,Female,18,Workwear,4,30,120
18,2023-09-05,CUST1501,Male,18,Casual Wear,2,150,300
19,2023-07-14,CUST071,Female,51,Formal Wear,4,25,100
20,2023-05-28,CUST1848,Male,39,Children Wear,4,30,120
21,2023-07-08,CUST1448,Male,35,Children Wear,3,25,75
22,2023-04-20,CUST572,Male,31,Formal Wear,4,500,2000
23,2023-01-02,CUST421,Female,37,Formal Wear,3,500,1500
24,2023-08-02,CUST949,Female,41,Children Wear,2,25,50
25,2023-01-06,CUST1420,Male,31,Casual Wear,4,25,100
26,2023-09-18,CUST2007,Male,39,Casual Wear,1,150,150
27,2023-04-02,CUST1193,Male,64,Formal Wear,1,100,100
28,2023-10-19,CUST1571,Female,26,Children Wear,3,75,225
29,2023-04-27,CUST1192,Female,52,Formal Wear,1,75,75
30,2023-02-17,CUST584,Female,27,Casual Wear,4,50,200
31,2023-03-05,CUST052,Female,36,Sportswear,1,300,300
32,2023-09-09,CUST1444,Male,18,Casual Wear,3,75,225
33,2023-07-08,CUST1287,Female,50,Workwear,2,150,300
34,2023-05-16,CUST1124,Female,29,Formal Wear,2,100,200
35,2023-10-29,CUST030,Female,39,Workwear,3,300,900
36,2023-11-09,CUST1220,Female,39,Children Wear,3,25,75
37,2023-06-29,CUST480,Female,42,Casual Wear,4,500,2000
38,2023-11-01,CUST1374,Male,36,Sportswear,5,25,125
39,2023-04-12,CUST1087,Female,63,Formal Wear,4,300,1200
40,2023-02-06,CUST232,Female,43,Workwear,1,25,25
41,2023-04-24,CUST1259,Female,24,Casual Wear,3,150,450
42,2023-07-24,CUST213,Male,27,Sportswear,3,500,1500
43,2023-08-05,CUST308,Female,34,Children Wear,4,300,1200
44,2023-07-14,CUST728,Male,51,Casual Wear,3,50,150
45,2023-07-17,CUST1362,Male,55,Children Wear,5,30,150
46,2023-01-21,CUST448,Female,54,Casual Wear,2,30,60
47,2023-05-26,CUST382,Female,53,Casual Wear,2,500,1000
48,2023-06-24,CUST1338,Female,25,Casual Wear,3,25,75
49,2023-08-12,CUST695,Female,22,Formal Wear,3,50,150
50,2023-08-27,CUST568,Female,51,Children Wear,1,300,300
51,2023-04-12,CUST589,Female,36,Workwear,2,500,1000
52,2023-12-15,CUST1572,Male,31,Formal Wear,1,200,200
53,2023-05-09,CUST1946,Male,59,Casual Wear,3,150,450
54,2023-08-26,CUST1687,Male,57,Formal Wear,3,200,600
55,2023-07-16,CUST1419,Female,39,Sportswear,1,50,50
56,2023-08-21,CUST1391,Male,48,Casual Wear,4,30,120
57,2023-10-15,CUST121,Female,28,Children Wear,4,50,200
58,2023-04-13,CUST745,Male,54,Casual Wear,2,50,100
59,2023-01-30,CUST1775,Female,27,Casual Wear,4,25,100
60,2023-01-13,CUST1931,Male,22,Children Wear,1,30,30
61,2023-03-07,CUST1804,Male,56,Casual Wear,1,25,25
62,2023-07-15,CUST1103,Male,32,Sportswear,4,75,300
63,2023-07-22,CUST1699,Female,41,Workwear,1,150,150
64,2023-10-17,CUST786,Male,48,Children Wear,4,25,100
65,2023-05-08,CUST2072,Male,35,Children Wear,2,75,150
66,2023-11-07,CUST565,Female,45,Sportswear,2,30,60
67,2023-03-30,CUST975,Female,56,Children Wear,4,50,200
68,2023-02-16,CUST2035,Female,27,Workwear,4,100,400
69,2023-10-13,CUST619,Male,47,Children Wear,4,25,100
70,2023-05-05,CUST252,Male,54,Workwear,1,300,300
71,2023-04-20,CUST298,Male,27,Children Wear,4,300,1200
72,2023-01-05,CUST367,Female,57,Formal Wear,1,50,50
73,2023-09-16,CUST412,Female,19,Children Wear,4,500,2000
74,2023-06-08,CUST539,Male,25,Children Wear,1,500,500
75,2023-11-20,CUST234,Female,62,Casual Wear,2,25,50
76,2023-04-20,CUST1582,Male,35,Formal Wear,2,150,300
77,2023-01-29,CUST101,Male,32,Formal Wear,2,300,600
78,2023-08-23,CUST368,Female,56,Workwear,4,300,1200
79,2023-11-11,CUST1942,Male,23,Sportswear,5,30,150
80,2023-03-27,CUST1436,Female,31,Formal Wear,1,100,100
81,2023-12-02,CUST112,Male,37,Formal Wear,3,500,1500
82,2023-04-08,CUST255,Male,48,Children Wear,1,30,30
83,2023-06-11,CUST887,Male,59,Sportswear,4,25,100
84,2023-08-09,CUST1050,Male,51,Formal Wear,3,150,450
85,2023-11-30,CUST1664,Female,61,Workwear,4,75,300
86,2023-03-27,CUST1549,Female,26,Casual Wear,4,100,400
87,2023-11-02,CUST1686,Female,18,Formal Wear,3,100,300
88,2023-04-29,CUST1474,Male,45,Casual Wear,1,50,50
89,2023-11-27,CUST362,Male,50,Children Wear,1,25,25
90,2023-04-30,CUST1428,Male,24,Casual Wear,2,75,150
91,2023-06-04,CUST556,Female,18,Sportswear,1,50,50
92,2023-02-27,CUST185,Male,24,Casual Wear,1,25,25
93,2024-01-01,CUST211,Male,42,Workwear,3,500,1500
94,2023-08-24,CUST479,Male,52,Sportswear,4,300,1200
95,2023-06-04,CUST1341,Male,45,Formal Wear,2,300,600
96,2023-07-28,CUST850,Female,26,Workwear,2,500,1000
97,2023-09-17,CUST1964,Male,53,Formal Wear,2,200,400
98,2023-03-08,CUST1067,Female,53,Children Wear,4,50,200
99,2023-07-25,CUST299,Male,61,Formal Wear,2,500,1000
100,2023-11-18,CUST057,Female,63,Casual Wear,1,30,30
101,2023-03-05,CUST536,Female,55,Formal Wear,4,30,120
102,2023-06-11,CUST110,Male,27,Casual Wear,3,300,900
103,2023-03-20,CUST1211,Female,33,Casual Wear,3,75,225
104,2023-09-25,CUST351,Female,56,Sportswear,3,30,90
105,2023-08-27,CUST671,Male,62,Children Wear,3,50,150
